# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:37:58; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
timestamp,dut_count,base_count,dut_min,dut_max,dut_avg,jitter,base_min,base_max,base_avg,base_std,base_total_hist,corrected_avg,corrected_min,corrected_max
364.845,2258623631,864845848,2909,202030,3.2669890590549655,199121,639,699,650.0185252205274,0.6084170903763719,868783180,1074.621430804636,2258.9814747794726,201379.98147477946
369.389,2286466960,875507344,2909,202030,2.2540970213713476,199121,639,699,650.0185234665597,0.6083882129471412,879536233,1075.7359708134477,2258.9814765334404,201379.98147653343
374.032,2314878261,886389508,2909,202030,2.7633080576067495,199121,639,699,650.018522985384,0.608380219105083,890300330,1075.7359712946231,2258.981477014616,201379.9814770146
378.618,2342959647,897144720,2909,202030,1.4108682431780695,199121,639,699,650.0185232636028,0.608384684485705,901310933,1075.7359710164046,2258.9814767363973,201379.9814767364
383.891,2375250476,909512594,2909,202030,2.1182891521710823,199121,639,699,650.01852412247,0.6083986693780465,913373361,1076.128253848823,2258.98147587753,201379.98147587752
388.353,2402579559,919978715,2909,202030,1.413256572204109,199121,639,699,650.0185263142437,0.6084352480412426,923920418,1069.304297046559,2258.981473685756,201379.98147368577
392.910,2430461795,930657848,2909,202030,1.6353276431568018,199121,639,699,650.0185245459382,0.608406140566306,934587010,1070.172945779144,2258.9814754540616,201379.98147545406
397.459,2458349096,941337786,2909,202030,0.8046814938605449,199121,639,699,650.018524839323,0.6084108599985761,945088899,1072.0598832390851,2258.981475160677,201379.9814751607
401.925,2485691609,951809008,2909,202030,1.624874154290151,199121,639,699,650.0185257742988,0.6084261064865399,955662080,1072.992922117035,2258.9814742257013,201379.9814742257
406.463,2513521417,962464446,2909,202030,1.0367916821295182,199121,639,699,650.0185253176502,0.608418523642222,966348882,1072.9929225736837,2258.98147468235,201379.98147468234
410.996,2541234974,973078476,2909,202030,2.69982287596204,199121,639,699,650.0185266035252,0.6084402032373294,976943236,1072.9929212878087,2258.981473396475,201379.98147339647
415.512,2568888048,983671594,2909,202030,1.2578344130316106,199121,639,699,650.0185242620128,0.6084016960438873,987487652,1072.9929236293212,2258.9814757379872,201379.981475738
419.996,2596351118,994183300,2909,202030,1.3255614366407895,199121,639,699,650.0185239175189,0.6083959526760483,998044824,1078.4300774210774,2258.981476082481,201379.98147608247
424.514,2624051371,1004791710,2909,202030,1.3979966827410102,199121,639,699,650.0185241413351,0.6083995347237455,1008635146,1077.642779934613,2258.981475858665,201379.98147585866
429.005,2651553573,1015324512,2909,202030,2.616897086921502,199121,639,699,650.0185229604442,0.6083800730920381,1019156741,1069.4678109504607,2258.981477039556,201379.98147703955
433.533,2679245150,1025930603,2909,202030,2.5801582441979973,199121,639,699,650.018527467114,0.6084539206936455,1029869862,1069.4678064437908,2258.981472532886,201379.98147253288
438.063,2706996125,1036561842,2909,202030,1.7522487125835837,199121,639,699,650.0185259705662,0.6084292856057507,1040432399,1069.4678079403388,2258.9814740294337,201379.98147402942
442.614,2734877218,1047235680,2909,202030,1.0897534578095271,199121,639,699,650.0185240271958,0.6083973187828063,1051230372,1068.7391813096176,2258.981475972804,201379.9814759728
447.828,2766838878,1059477738,2909,202030,2.542331655425004,199121,639,699,650.0185232401166,0.6083843125489621,1063411146,1070.8190949386858,2258.9814767598837,201379.9814767599
452.379,2794657182,1070129616,2909,202031,1.5873630957573386,199122,639,699,650.0185250599468,0.6084147011832488,1074080195,1070.8190931188556,2258.981474940053,201380.98147494005
456.947,2822623043,1080837811,2909,202031,0.9481736966745226,199122,639,699,650.0185239978244,0.6083971921022037,1084707534,1069.7235243134664,2258.9814760021754,201380.98147600217
461.434,2850120552,1091369024,2909,202031,1.5734610467101393,199122,639,699,650.018524194812,0.6084003417983678,1095305907,1069.7235241164788,2258.981475805188,201380.9814758052
465.981,2877955552,1102029662,2909,202031,0.9871853837442448,199122,639,699,650.0185238900996,0.6083964513948713,1105871385,1072.5018363925174,2258.9814761099005,201380.9814761099
470.491,2905560902,1112615944,2909,202031,1.3445832046785988,199122,639,699,650.0185242782493,0.6084027300364384,1116361983,1071.4060850342473,2258.981475721751,201380.98147572175
474.932,2932758569,1123021518,2909,202031,1.7195631390549693,199122,639,699,650.0185228045408,0.6083784639962292,1126867152,1071.406086507956,2258.9814771954593,201380.98147719546
479.432,2960322960,1133577300,2909,202031,1.7304836152066327,199122,639,699,650.0185219129006,0.6083637478621076,1137478624,1071.3102962736903,2258.9814780870993,201380.9814780871
483.953,2988022223,1144187572,2909,202031,2.1290674507142042,199122,639,699,650.018521442107,0.6083559382470092,1148056392,1071.3102967444838,2258.981478557893,201380.9814785579
488.474,3015687546,1154781784,2909,202031,1.9315979484434294,199122,639,699,650.0185184092384,0.6083066592376306,1158591957,1071.4779909603485,2258.9814815907616,201380.98148159077
492.938,3042999990,1165243160,2909,202031,0.6163987940072257,199122,639,699,650.0185169602594,0.608282796482157,1169075253,1069.5305931938422,2258.981483039741,201380.98148303974
497.404,3070347394,1175715786,2909,202031,1.288662119710614,199122,639,699,650.0185179798135,0.6082999990200785,1179543353,1071.0607452652198,2258.9814820201864,201380.9814820202
501.934,3098106397,1186349550,2909,202031,0.9587409153785753,199122,639,699,650.0185192249089,0.6083203389932039,1190245278,1071.4878910315012,2258.981480775091,201380.98148077508
506.488,3126031714,1197047404,2909,202031,1.8658063790199924,199122,639,699,650.0185190018713,0.6083171382269299,1200948094,1068.84209762974,2258.981480998129,201380.98148099813
511.688,3157863206,1209233964,2909,202031,1.5140044251809177,199122,639,699,650.0185202862276,0.608338108805726,1212984493,1068.8420963453837,2258.9814797137724,201380.98147971378
516.119,3184981382,1219618708,2909,202031,1.799560289862944,199122,639,699,650.0185216535658,0.6083604561167938,1223349736,1068.8420949780455,2258.9814783464344,201380.98147834642
520.568,3212213751,1230049494,2909,202031,0.8143645404001012,199122,639,699,650.0185197945164,0.6083303992315876,1233892740,1068.1616895395587,2258.9814802054834,201380.9814802055
525.122,3240094933,1240730578,2909,202031,1.0185773933309625,199122,639,699,650.0185190119254,0.6083179963501055,1244446523,1068.1616903221498,2258.9814809880745,201380.98148098806
529.564,3267303400,1251145752,2909,202031,0.8349937465250395,199122,639,699,650.0185209498753,0.6083497010648471,1254961552,1071.3409896062653,2258.9814790501246,201380.98147905013
534.084,3294999091,1261754080,2909,202031,2.3918245830557043,199122,639,699,650.0185218650233,0.6083646231890322,1265654402,1071.3409886911172,2258.981478134977,201380.98147813499
538.616,3322721546,1272368936,2909,202031,0.5954278682731363,199122,639,699,650.0185222798904,0.6083713403468239,1276130160,1079.4623317350697,2258.9814777201095,201380.9814777201
543.117,3350321573,1282946609,2909,202031,1.3726683152035448,199122,639,699,650.0185256857822,0.6084271267363828,1286967742,1071.325546367565,2258.981474314218,201380.9814743142
547.787,3378894719,1293884700,2909,202031,0.7084459978997055,199122,639,699,650.0185250935483,0.6084173202146099,1297932447,1051.4913972533025,2258.9814749064517,201380.98147490644
552.408,3407191814,1304722482,2909,202031,0.131136042639013,199122,639,699,650.0185260784793,0.6084333902537689,1308781026,1049.6401842884607,2258.981473921521,201380.9814739215
556.988,3435253384,1315462146,2909,202031,0.39837192923641407,199122,639,699,650.0185258205519,0.6084290713173451,1319736415,1048.2070060943415,2258.981474179448,201380.98147417945
561.691,3464103424,1326510522,2909,202031,0.6813891446331136,199122,639,699,650.0185290875445,0.6084825814787977,1330360167,1049.2622855648847,2258.9814709124557,201380.98147091246
566.255,3492016671,1337193258,2909,202031,0.9288393423022121,199122,639,699,650.0185307031899,0.6085094912097995,1341048947,1050.7379197174514,2258.9814692968102,201380.98146929682
